row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
50	474.381	7.392348	2.0029157483001706e-06	0.03008670301215815	-13.615488407723724	1.0	1.0	0.0	0.0	0.007936507936507936	0.017459871087542628
394	577.2634	1.6295	0.0	0.003790764736610799	-13.23100206391651	0.0	1.0	-1.0	0.0	0.007936507936507936	0.017459871087542628
254	486.3784	7.202069	0.0	0.0030938482646623243	-12.937949384681604	0.4	1.0	-0.6	0.0	0.007936507936507936	0.017459871087542628
1	500.3936	7.416574	1.5052889024583167e-05	0.11754001044734846	-12.893523402009988	1.0	1.0	0.0	0.0	0.007936507936507936	0.017459871087542628
170	769.4848	2.0465	0.0027175555870684333	0.0	12.750881944592903	1.0	0.0	1.0	25.0	0.007936507936507936	0.017459871087542628
53	524.394	7.300478	4.706841587146275e-06	0.03306510220676472	-12.662214503661566	0.6	1.0	-0.4	0.0	0.007936507936507936	0.017459871087542628
1037	500.3878	7.140046	0.0	0.0023909318861604096	-12.566174022089005	0.2	1.0	-0.8	0.0	0.007936507936507936	0.017459871087542628
824	474.2638	6.147482	0.0	0.0022124030556817933	-12.454234427725957	0.0	1.0	-1.0	0.0	0.007936507936507936	0.017459871087542628
876	474.2639	6.275607	0.0	0.0021166823797851685	-12.390436614816135	0.0	1.0	-1.0	0.0	0.007936507936507936	0.017459871087542628
186	480.3059	7.126273	0.0	0.0021036396275750054	-12.381521058967504	0.2	1.0	-0.8	0.0	0.007936507936507936	0.017459871087542628
468	628.3434	0.576	0.0	0.002072438175479138	-12.359966614628043	0.0	1.0	-1.0	0.0	0.007936507936507936	0.017459871087542628
168	384.8699	1.607277	0.0019708747933370233	0.0	12.287487820127545	1.0	0.0	1.0	25.0	0.007936507936507936	0.017459871087542628
361	480.3109	7.201058	0.0	0.0018935279466698748	-12.229740195261073	0.2	1.0	-0.8	0.0	0.007936507936507936	0.017459871087542628
39	472.3637	6.963863	1.3927205756009595e-06	0.008231659468812325	-12.16946818153659	0.8	1.0	-0.19999999999999996	0.0	0.007936507936507936	0.017459871087542628
144	476.278	6.656283	1.9661630884489514e-06	0.00978115074939945	-12.016767442783681	0.8	1.0	-0.19999999999999996	0.0	0.007936507936507936	0.017459871087542628
875	522.3787	7.685106	0.0	0.001611190000143903	-11.996842749966262	0.0	1.0	-1.0	0.0	0.007936507936507936	0.017459871087542628
2	496.3623	6.914613	3.2777884004814216e-05	0.1336457561264153	-11.976156001372686	1.0	1.0	0.0	0.0	0.007936507936507936	0.017459871087542628
70	476.2779	6.53743	1.5964207562455932e-06	0.008003270436776695	-11.9731431481371	0.8	1.0	-0.19999999999999996	0.0	0.007936507936507936	0.017459871087542628
947	504.3076	7.093115	0.0	0.0015355455025762316	-11.927484768771079	0.2	1.0	-0.8	0.0	0.007936507936507936	0.017459871087542628
542	486.3783	7.277742	0.0	0.0014511989901583031	-11.846000388590268	0.4	1.0	-0.6	0.0	0.007936507936507936	0.017459871087542628
