formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H14N2O5S2	[M + Na]+	C8H14N2NaO5S2+		0.508	122.808	122.808	0.000	34	0.702	-0.947	3.634	-7.653		305.021	63	1.043	878154939798897984	878154886770312416	878154886761923807	11069	
1	C14H27N3O5S	[M + H]+	C14H28N3O5S+		0.780	80.981	80.981	0.000	26	0.876	2.023	2.721	-5.764		350.172	81	1.354	878154936409900342	878154888066352392	878154888062158087	23295	
1	C25H35N7O7	[M + H]+	C25H36N7O7+		0.963	130.935	130.935	0.000	35	0.846	1.680	2.617	-8.188		546.263	97	1.621	878155846548702660	878154887948911876	878154887944717571	20484	
1	C11H18FN3O4	[M + H]+	C11H19FN3O4+		0.901	118.144	118.144	0.000	29	0.938	-1.415	2.997	-6.195		276.134	97	1.623	878154916247881003	878154885054842036	878154885046453427	3366	
1	C21H30N6O6	[M + H]+	C21H31N6O6+		0.999	89.132	89.132	0.000	31	0.849	1.639	1.862	-2.286		463.229	99	1.655	878155022380549470	878154885398774972	878154885394580667	5285	
1	C24H48N6O9	[M + K]+	C24H48KN6O9+		0.803	67.657	67.657	0.000	24	0.963	0.049	2.301	-0.721		603.311	110	1.826	878154969414878548	878154884169843876	878154884136289443	601	
1	C26H45N3O9S	[M + H]+	C26H46N3O9S+		0.973	100.449	100.449	0.000	41	0.838	-0.582	2.471	12.793		576.302	125	2.091	878155759021966778	878154888183792908	878154888179598603	26569	
1	C20H27ClN4O4	[M + H]+	C20H28ClN4O4+		0.819	126.958	126.958	0.000	41	0.933	1.126	1.557	6.240		423.182	127	2.110	878155076403185000	878154886468322520	878154886459933911	9816	
1	C24H35N7O7	[M + H]+	C24H36N7O7+		0.886	128.872	128.872	0.000	47	0.971	0.778	2.106	5.666		534.270	129	2.158	878155556973954470	878154884488610984	878154884476028071	1384	
1	C13H25N7O4	[M + H]+	C13H26N7O4+		0.898	66.251	66.251	0.000	16	0.949	0.288	1.415	3.258		344.205	149	2.477	878155346419893650	878154886153749712	878154886149555407	8042	
1	C19H25Br4N3O5	[M + H]+	C19H26Br4N3O5+		0.984	117.810	117.810	0.000	38	0.715	1.074	1.968	2.246		691.862	152	2.539	878154966231401802	878154884681548972	878154884677354667	1730	
1	C3H2O3S8	[M + K]+	C3H2KO3S8+		0.377	-1.287	-1.287	0.000	0	0.000			-3.204		380.739	206	3.426	878155104207226226	878154884874486960	878154884870292655	2729	
1	C9H11Br2ClIN3O3	[M + H]+	C9H12Br2ClIN3O3+		0.747	21.653	21.653	0.000	6	0.332	0.530	0.530	-6.262		529.794	213	3.557	878155111182353788	878154887831471360	878154887827277055	19559	
1	C11H12Br4FN3O3	[M + H]+	C11H13Br4FN3O3+		0.999	46.900	46.900	0.000	10	0.384	-1.383	4.943	-0.868		569.766	214	3.560	878155577265997232	878154885558158528	878154885549769919	6166	
1	C39H58N8O11	[M + H]+	C39H59N8O11+		0.994	61.199	61.199	0.000	20	0.786	1.926	2.031	5.910		815.435	218	3.639	878155513420301724	878154886006949068	878154886002754763	7605	
1	C70H79N3O9	[M + H]+	C70H80N3O9+		0.695	19.361	19.361	0.000	6	0.436	3.225	3.546	0.535		1106.590	219	3.652	878155867943847374	878154886308938964	878154886300550355	9098	
1	C43H48N4O7	[M + H]+	C43H49N4O7+		0.327	81.142	81.142	0.000	23	0.761	1.422	1.422	2.350		733.361	224	3.742	878155340556256648	878154887160382700	878154887156188395	13948	
1	C17H21Br3N4O4S2	[M + H]+	C17H22Br3N4O4S2+		0.963	127.278	127.278	0.000	31	0.710	0.862	2.579	1.685		646.864	234	3.894	878155872305923544	878154887701447932	878154887697253627	17794	
1	C65H105N15O22	[M + Na]+	C65H105N15NaO22+		0.195	24.971	24.971	0.000	10	0.332	1.851	6.166	-13.722		1470.725	259	4.325	878156645647502954	878154886623511772	878154886615123163	10369	
1	C61H91N5O12	[M + K]+	C61H91KN5O12+		0.543	30.793	30.793	0.000	9	0.395	2.378	2.657	4.373		1124.635	260	4.329	878156102376080889	878154888200570128	878154888196375823	28118	
