row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
249	218.2119	3.265	0.0	0.001551332573237894	-12.203360724035948	0.4	1.0	-0.6	0.0	0.000666000666000666	0.029061697378529063
1862	561.2849	2.312226	0.00024261955341840365	0.0	9.52826962921364	1.0	0.3	0.7	50.0	0.000333000333000333	0.029061697378529063
2270	262.2383	3.445452	0.0	9.8636494629625e-05	-8.232616447680243	0.2	1.0	-0.8	0.0	0.000666000666000666	0.029061697378529063
1427	383.2279	2.032357	0.0	8.724921769258415e-05	-8.056262969236993	0.2	1.0	-0.8	0.0	0.000666000666000666	0.029061697378529063
2624	650.367	3.245	8.449708580713892e-05	0.0	8.01019888111138	1.0	0.0	1.0	50.0	0.000333000333000333	0.029061697378529063
3880	174.1852	3.231192	0.0	7.442451918880816e-05	-7.827832428769091	0.0	1.0	-1.0	0.0	0.000666000666000666	0.029061697378529063
3782	650.8707	3.245	7.367249743813431e-05	0.0	7.813245397577964	1.0	0.0	1.0	50.0	0.000333000333000333	0.029061697378529063
3726	677.3293	3.041667	0.0	7.341687002820309e-05	-7.8082531911906115	0.2	1.0	-0.8	0.0	0.000666000666000666	0.029061697378529063
5085	1452.816	3.975925	0.0	6.978369312477201e-05	-7.735366604301306	0.0	1.0	-1.0	0.0	0.000666000666000666	0.029061697378529063
7125	785.419	3.217046	0.0	6.0927979859732796e-05	-7.540565245219645	0.2	1.0	-0.8	0.0	0.000666000666000666	0.029061697378529063
7500	262.202	1.849	0.0	5.889736567929879e-05	-7.49193058022411	0.0	1.0	-1.0	0.0	0.000666000666000666	0.029061697378529063
3157	670.3433	0.589	0.0	5.8441375881483645e-05	-7.480780148649651	0.2	1.0	-0.8	0.0	0.000666000666000666	0.029061697378529063
3278	234.2062	3.497201	0.0	5.371392255440932e-05	-7.359796756765279	0.0	1.0	-1.0	0.0	0.000666000666000666	0.029061697378529063
7219	674.4066	3.354	4.3594848843153166e-05	0.0	7.060695647343552	1.0	0.4	0.6	50.0	0.000333000333000333	0.029061697378529063
7934	445.2275	0.58	3.902410991156962e-05	0.0	6.902168889051231	1.0	0.2	0.8	50.0	0.000333000333000333	0.029061697378529063
38417	247.2453	4.67907	0.0	3.5875557746857825e-05	-6.781862623218196	0.4	1.0	-0.6	0.0	0.000666000666000666	0.029061697378529063
16317	683.3433	1.944865	3.358764406048672e-05	0.0	6.687684770285557	1.0	0.3	0.7	49.0	0.000666000666000666	0.029061697378529063
9850	494.7864	2.151	3.297302358301087e-05	0.0	6.661301201881241	1.0	0.3	0.7	49.0	0.000666000666000666	0.029061697378529063
8012	656.8702	2.572	2.919238688025737e-05	0.0	6.487451955012053	1.0	0.0	1.0	50.0	0.000333000333000333	0.029061697378529063
11103	373.2076	3.088257	2.8632029817275015e-05	0.0	6.4598043764468205	1.0	0.2	0.8	50.0	0.000333000333000333	0.029061697378529063
