species	matrix	n_samples	n_tested	n_significant	n_significant_blank_clearing	n_rises_to_Mature	n_falls_to_Mature
dendrobatidis	liq	30	25313	1684	272	919	765
dendrobatidis	spore	15	18926	8266	1415	4427	3839
salamandrivorans	liq	30	29315	316	124	173	143
salamandrivorans	spore	15	20214	7694	1445	3065	4629
