row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
1006	1001.7834	7.410809	0.0	0.0027912162255757733	-9.09150295907293	0.0	1.0	-1.0	0.0	0.007936507936507936	0.04165821703568509
6414	514.2646	2.248984	0.0016891634380251435	0.0	8.368642365877264	1.0	0.0	1.0	25.0	0.007936507936507936	0.04165821703568509
5019	1509.047	6.900997	0.0	0.0015133358579865544	-8.210572678563786	0.0	1.0	-1.0	0.0	0.007936507936507936	0.04165821703568509
7852	292.6645	1.982303	0.001244513234265124	0.0	7.929473655119066	1.0	0.2	0.8	25.0	0.007936507936507936	0.04165821703568509
6636	645.3607	2.047486	0.0010511895629949542	0.0	7.6870028806644894	1.0	0.0	1.0	25.0	0.007936507936507936	0.04165821703568509
8048	642.3234	2.088946	0.001041436074485516	0.0	7.673619875688649	1.0	0.0	1.0	25.0	0.007936507936507936	0.04165821703568509
6717	498.3837	7.435775	0.0	0.0010347539808390701	-7.664379018344475	0.2	1.0	-0.8	0.0	0.007936507936507936	0.04165821703568509
4913	994.738	6.898942	0.0	0.0009767351330570594	-7.581552888011802	0.2	1.0	-0.8	0.0	0.007936507936507936	0.04165821703568509
7799	514.2643	2.395	0.0008985979274729579	0.0	7.461916008508786	1.0	0.4	0.6	25.0	0.007936507936507936	0.04165821703568509
4252	1510.067	6.913996	0.0	0.0008202530516115715	-7.331090704432157	0.4	1.0	-0.6	0.0	0.007936507936507936	0.04165821703568509
12988	457.2456	2.763979	0.0007248368236090401	0.0	7.153856863188407	1.0	0.0	1.0	25.0	0.007936507936507936	0.04165821703568509
3875	1522.1671	7.417964	0.0	0.0006167818798943987	-6.922734755828548	0.0	1.0	-1.0	0.0	0.007936507936507936	0.04165821703568509
13286	263.1165	2.047486	0.0005671490808605512	0.0	6.802742638375506	1.0	0.0	1.0	25.0	0.007936507936507936	0.04165821703568509
21458	515.272	2.250336	0.000532834499201168	0.0	6.71353408836864	1.0	0.2	0.8	25.0	0.007936507936507936	0.04165821703568509
21517	515.2672	2.326	0.0005082554618571104	0.0	6.646065040576367	1.0	0.4	0.6	25.0	0.007936507936507936	0.04165821703568509
11618	1089.7482	7.427295	0.0	0.0005047488676374431	-6.636177065992087	0.2	1.0	-0.8	0.0	0.007936507936507936	0.04165821703568509
16236	582.3008	1.932103	0.0004874721014425291	0.0	6.586444901985555	1.0	0.0	1.0	25.0	0.007936507936507936	0.04165821703568509
9142	527.3555	7.426758	0.0	0.00047901485168606113	-6.561460666076494	0.0	1.0	-1.0	0.0	0.007936507936507936	0.04165821703568509
10779	801.6894	7.045999	0.0	0.00045583579910955823	-6.490681022888182	0.4	1.0	-0.6	0.0	0.007936507936507936	0.04165821703568509
14952	581.3307	2.014456	0.0004440474853170672	0.0	6.453306591277138	1.0	0.4	0.6	25.0	0.007936507936507936	0.04165821703568509
