row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
277	724.3141	2.057	0.001185444492953645	0.0	11.55207484225818	1.0	0.0	1.0	50.0	0.000333000333000333	0.012125536020937284
425	569.8374	2.955	0.0008133146650544958	0.0	11.008752077628856	1.0	0.4	0.6	50.0	0.000333000333000333	0.012125536020937284
506	501.5792	2.285701	0.0006214952913204353	0.0	10.62089799956926	1.0	0.2	0.8	50.0	0.000333000333000333	0.012125536020937284
661	1136.674	2.954554	0.0005726414120206556	0.0	10.502864702334183	1.0	0.3	0.7	50.0	0.000333000333000333	0.012125536020937284
645	725.3218	2.057	0.00034006789825348027	0.0	9.75173533401254	1.0	0.0	1.0	50.0	0.000333000333000333	0.012125536020937284
1133	569.3354	3.052	0.00029557134233879165	0.0	9.54967081071776	1.0	0.1	0.9	50.0	0.000333000333000333	0.012125536020937284
1945	854.4401	1.628	0.00028692854165527	0.0	9.506913882242577	1.0	0.2	0.8	50.0	0.000333000333000333	0.012125536020937284
1929	1303.5977	2.199	0.0002689603846214926	0.0	9.413748556258293	1.0	0.3	0.7	50.0	0.000333000333000333	0.012125536020937284
3756	565.2655	1.967716	0.0	0.00025232569286069825	-9.32178141813441	0.0	1.0	-1.0	0.0	0.000666000666000666	0.012125536020937284
1546	626.8679	3.323	0.00023875976345106559	0.0	9.242182120468957	1.0	0.2	0.8	50.0	0.000333000333000333	0.012125536020937284
2131	1003.543	3.131	0.0002269982660532805	0.0	9.169427098665796	1.0	0.3	0.7	49.0	0.000666000666000666	0.012125536020937284
2540	1064.5348	2.057	0.00021083123281412144	0.0	9.063026544952155	1.0	0.1	0.9	50.0	0.000333000333000333	0.012125536020937284
1753	660.8174	2.199	0.00020461100769562693	0.0	9.01990369764366	1.0	0.3	0.7	49.0	0.000666000666000666	0.012125536020937284
1482	646.9965	3.091917	0.00019602333542544586	0.0	8.958167093198691	1.0	0.2	0.8	49.0	0.000666000666000666	0.012125536020937284
526	506.9103	1.912	0.00019265352514342857	0.0	8.933201004968986	1.0	0.2	0.8	50.0	0.000333000333000333	0.012125536020937284
2308	1374.1731	3.599	0.00019184173554029872	0.0	8.92712152465999	1.0	0.2	0.8	50.0	0.000333000333000333	0.012125536020937284
3731	710.385	2.198	0.0	0.00018905606903503444	-8.906062741389155	0.2	1.0	-0.8	0.0	0.000666000666000666	0.012125536020937284
2327	955.498	1.5475	0.00018715870310238356	0.0	8.891541202387488	1.0	0.2	0.8	50.0	0.000333000333000333	0.012125536020937284
1208	560.3275	2.373	0.0	0.0001869939058702395	-8.890272996184247	0.0	1.0	-1.0	0.0	0.000666000666000666	0.012125536020937284
3614	660.8097	2.207	0.0001720825297260573	0.0	8.7706458184487	1.0	0.1	0.9	49.0	0.000666000666000666	0.012125536020937284
