row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
2018	1017.7281	7.135615	0.0	0.0009976656550056025	-9.481482612616084	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
2583	959.614	7.129116	0.0	0.0007505660753489865	-9.07156955977417	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
2675	989.6967	6.956537	0.0	0.00074696320105002	-9.064640580116492	0.2	1.0	-0.8	0.0	0.007936507936507936	0.022352423898483593
2088	500.3348	7.417012	0.0	0.0007294137656986189	-9.030405658645748	0.4	1.0	-0.6	0.0	0.007936507936507936	0.022352423898483593
1006	1001.7834	7.410809	0.0	0.0007025632965659266	-8.976401879980436	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
3473	466.2927	6.886112	0.0	0.0005798344658314729	-8.700020883343832	0.2	1.0	-0.8	0.0	0.007936507936507936	0.022352423898483593
3497	927.5522	6.566649	0.0	0.0005619441219754236	-8.654916910188536	0.2	1.0	-0.8	0.0	0.007936507936507936	0.022352423898483593
3548	989.6987	6.976402	0.0	0.0004472253113749775	-8.326409886565806	0.2	1.0	-0.8	0.0	0.007936507936507936	0.022352423898483593
5248	977.6841	7.127335	0.0	0.00038916238481603535	-8.12645072842859	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
5019	1509.047	6.900997	0.0	0.0003623879938302955	-8.023994996145987	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
6989	991.7105	6.985234	0.0	0.0003066428366033474	-7.784026329012515	0.4	1.0	-0.6	0.0	0.007936507936507936	0.022352423898483593
8200	887.4897	1.345858	0.0	0.0003022522061121934	-7.763315030316358	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
7134	504.2473	1.393	0.0	0.00029879616824405176	-7.746800610424627	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
17373	337.1037	6.91559	0.00029828774381957467	0.0	7.744355112452526	1.0	0.2	0.8	25.0	0.007936507936507936	0.022352423898483593
6717	498.3837	7.435775	0.0	0.00025706309387843473	-7.530851476184706	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
1304	290.2694	3.5455	0.0	0.00024344248912377451	-7.452746378617111	0.2	1.0	-0.8	0.0	0.007936507936507936	0.022352423898483593
4913	994.738	6.898942	0.0	0.0002383346626775915	-7.422330656974949	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
4252	1510.067	6.913996	0.0	0.00022328494442014162	-7.328794625165452	0.0	1.0	-1.0	0.0	0.007936507936507936	0.022352423898483593
27632	1039.4877	3.057969	0.0002209211106763434	0.0	7.313535951954453	1.0	0.0	1.0	25.0	0.007936507936507936	0.022352423898483593
437	437.2026	0.583	0.00021413070513080402	0.0	7.268783928268439	1.0	0.0	1.0	25.0	0.007936507936507936	0.022352423898483593
