formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C41H56N10O9S	[M + H]+	C41H57N10O9S+		0.999	56.097	56.097	0.000	26	0.910	0.739	1.783	-4.531		865.399	97	1.622	878146789837340930	878145452894552218	878145452890357913	14103	
1	C31H44N8O11	[M + H]+	C31H45N8O11+		0.955	127.973	127.973	0.000	45	0.927	0.997	1.856	11.724		705.329	126	2.103	878147445792932129	878145453351731366	878145453347537061	16878	
1	C46H56N10O10	[M + H]+	C46H57N10O10+		0.379	148.179	148.179	0.000	46	0.926	1.690	1.886	3.998		909.429	148	2.462	878146874780385548	878145451070029914	878145451065835609	1928	
1	C31H49N9O12	[M + H]+	C31H50N9O12+		0.742	130.900	130.900	0.000	46	0.951	1.711	1.998	5.748		740.362	164	2.734	878146173891215603	878145451678204014	878145451669815405	6333	
1	C53H56N4O7	[M + H]+	C53H57N4O7+		0.631	67.686	67.686	0.000	22	0.702	2.608	2.608	11.868		861.432	180	2.996	878148177787060718	878145451560763498	878145451556569193	5629	
1	C59H74N2O13	[M + H]+	C59H75N2O13+		0.950	42.443	42.443	0.000	11	0.498	0.357	3.276	4.446		1019.531	219	3.657	878145850913030377	878145452428984458	878145452424790153	10560	
1	C38H59N11O8	[M + H]+	C38H60N11O8+		0.874	97.161	97.161	0.000	29	0.778	1.248	1.697	-1.108		798.461	223	3.724	878145639612383453	878145452525453454	878145452521259149	11632	
1	C47H64N4O14	[M + H]+	C47H65N4O14+		0.497	63.808	63.808	0.000	13	0.522	-0.407	2.796	-9.214		909.441	225	3.746	878148001290748223	878145452118605950	878145452114411645	8695	
1	C23H22Br3N5O4	[M + K]+	C23H22Br3KN5O4+		0.999	62.030	62.030	0.000	19	0.762	-0.554	1.313	12.504		707.894	231	3.854	878147467796250923	878145451791450226	878145451783061617	6849	
1	C49H85FN6O6	[M + Na]+	C49H85FN6NaO6+		0.469	16.952	16.952	0.000	7	0.338	5.292	5.292	-10.254		895.632	527	8.779	878147549882974517	878145452617728146	878145452613533841	12317	
1	C39H82B4NO8P	[M + Na]+	C39H82B4NNaO8P+		0.744	26.929	26.929	0.000	11	0.539	-0.534	5.051	5.881		786.623	561	9.349	878146917956550934	878145453607583918	878145453603389613	20143	
