row ID,row m/z,row retention time,source_file,source_scan
17,604.2952,2.18,A1_liq.mzML,853.0
18,653.4039,2.406,X2_liq.mzML,1000.0
27,1025.5631,3.521,E3C_liq.mzML,1347.0
32,558.3264,3.060625,V2_liq.mzML,1179.0
44,684.3896,2.652,D1_liq.mzML,1031.0
61,386.2483,2.057,D1_spore.mzML,768.0
76,751.3671,3.162684,A1C_liq.mzML,1215.0
94,755.3889,2.809771,D1_liq.mzML,1087.0
96,1124.632,0.737,IS_7.mzML,296.0
104,384.537,1.611,C3C_liq.mzML,670.0
107,310.1683,2.184,A3_liq.mzML,848.0
113,562.2946,2.584451,Y2_liq.mzML,999.0
119,1008.5665,3.160623,X3C_liq.mzML,1217.0
120,679.356,0.8855,E3C_liq.mzML,356.0
125,555.2476,2.175,A1_liq.mzML,859.0
126,1025.5641,0.737,IS_7.mzML,301.0
128,578.2506,2.1685,F2C_liq.mzML,852.0
135,652.4076,2.523,W2_liq.mzML,968.0
141,522.3781,7.139167,W3_spores.mzML,2634.0
142,231.1712,0.8514,C2C_liq.mzML,349.0
143,576.8031,1.581,E3_liq.mzML,763.0
145,685.3927,2.651099,E3C_liq.mzML,1032.0
168,384.8699,1.607277,Y1C_liq.mzML,734.0
172,586.3273,2.104424,V1_liq.mzML,815.0
177,890.4824,3.8525,B3C_liq.mzML,1571.0
188,839.444,2.970537,W2C_liq.mzML,1146.0
191,1100.5753,0.737,IS_7.mzML,303.0
197,563.295,2.572252,D1C_liq.mzML,962.0
216,498.3716,6.914607,B3_spore.mzML,2500.0
218,264.1355,0.622,E3_liq.mzML,269.0
221,679.3486,0.811,W1_liq.mzML,327.0
241,1009.571,3.158579,C2_liq.mzML,1280.0
252,561.2965,1.881,C3C_liq.mzML,827.0
253,554.3378,2.119137,C2C_liq.mzML,852.0
259,604.3021,2.231832,Y2_liq.mzML,883.0
263,606.2592,1.691,A1_liq.mzML,661.0
277,724.3141,2.057,A1_liq.mzML,799.0
287,532.3017,3.304,D3C_liq.mzML,1239.0
288,384.8698,1.659,C2_liq.mzML,626.0
290,154.99,10.896505,X2_spores.mzML,3940.0
304,620.279,0.587,Z3C_liq.mzML,248.0
305,167.0899,0.5775,C1_spore.mzML,283.0
319,440.2929,2.903858,A1_liq.mzML,1101.0
321,732.3585,2.946,F3_liq.mzML,1132.0
327,398.7212,1.479491,Y3_spores.mzML,608.0
337,428.2175,1.881,C2C_liq.mzML,725.0
346,1373.6639,3.598,A2C_liq.mzML,1382.0
358,849.3452,1.515958,A1C_liq.mzML,595.0
369,690.4396,3.3595,B3_liq.mzML,1234.0
392,838.441,3.149,C3C_liq.mzML,1235.0
399,887.465,3.740481,C3_liq.mzML,1419.0
400,540.3108,3.067332,A2C_liq.mzML,1180.0
401,838.4512,3.162,Y2C_liq.mzML,1279.0
402,577.303,1.581,F3_liq.mzML,767.0
406,732.3667,2.945977,Y2_liq.mzML,1124.0
407,556.2479,2.168,W1_liq.mzML,964.0
408,652.9059,2.406,B1_liq.mzML,930.0
419,644.3518,3.276,A1_liq.mzML,1273.0
427,378.5326,1.612,C3C_liq.mzML,664.0
428,576.3054,1.992138,C3C_liq.mzML,795.0
431,684.3975,2.73,F2_liq.mzML,1054.0
446,1374.6549,3.599,Z1_liq.mzML,1447.0
447,385.2067,1.611,D1C_liq.mzML,742.0
451,384.5372,2.023,Z1C_liq.mzML,774.0
457,338.3427,8.818051,Z3C_liq.mzML,3282.0
465,903.4631,3.245,C2_liq.mzML,1316.0
466,579.2542,2.168,E1_liq.mzML,842.0
470,993.4705,3.454485,A2C_liq.mzML,1334.0
481,900.4573,2.840972,X3C_liq.mzML,1102.0
493,637.2818,2.309491,Z2_liq.mzML,902.0
496,550.7952,0.737,IS_7.mzML,313.0
501,578.3564,2.634,Y3_spores.mzML,1015.0
506,501.5792,2.285701,X3C_liq.mzML,892.0
507,606.266,1.707138,Y2C_liq.mzML,665.0
513,445.25,0.610038,Z3_liq.mzML,311.0
515,399.2202,1.490937,Y2_spores.mzML,544.0
526,506.9103,1.912,Y2C_liq.mzML,750.0
528,644.8561,3.276,F3_liq.mzML,1338.0
553,361.2001,2.1805,V3_liq.mzML,792.0
556,822.4401,3.323,E2C_liq.mzML,1283.0
560,666.8351,1.495455,X3C_liq.mzML,578.0
564,461.244,2.639434,E3_liq.mzML,989.0
565,456.2173,1.723,V3C_liq.mzML,659.0
577,546.2436,0.747,Z3C_liq.mzML,299.0
582,646.6605,1.0,IS_7.mzML,422.0
586,443.2695,0.737976,W3_liq.mzML,337.0
593,707.3231,2.491603,E1C_liq.mzML,837.0
599,554.3377,2.588754,F2C_liq.mzML,1003.0
607,330.1735,2.641805,C3C_liq.mzML,1042.0
614,810.3164,1.929556,V3_liq.mzML,762.0
624,546.2382,0.588,F1C_liq.mzML,274.0
625,378.868,1.613,C1C_liq.mzML,738.0
631,445.2454,3.846,A1_liq.mzML,1481.0
637,425.2748,2.521,Z3_liq.mzML,976.0
648,547.2499,2.182516,A1C_liq.mzML,881.0
649,777.3484,2.713,C2C_liq.mzML,1103.0
651,562.2689,1.579,F3C_liq.mzML,607.0
662,247.1661,10.64957,E3_liq.mzML,3908.0
