row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
216	498.3716	6.914607	1.052497268613105e-06	0.020756302295973528	-13.65224702235637	0.5	1.0	-0.5	0.0	4.999750012499375e-05	0.00014515168088198097
1503	515.2723	2.658	0.0	0.0042110664797997185	-12.877362779275696	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.00014515168088198097
1037	500.3878	7.140046	0.0	0.0035796408114912508	-12.64302578011693	0.2	1.0	-0.8	0.0	4.999750012499375e-05	0.00014515168088198097
13873	706.5645	10.648895	0.0	0.003112951951667311	-12.441528071204118	0.4	1.0	-0.6	0.0	4.999750012499375e-05	0.00014515168088198097
7440	470.3501	6.7472	0.0	0.0028926073587631686	-12.335635024519936	0.3	1.0	-0.7	0.0	4.999750012499375e-05	0.00014515168088198097
1061	478.2907	6.822774	8.904479050214596e-07	0.006563954134111711	-12.14424413497762	0.5	1.0	-0.5	0.0	4.999750012499375e-05	0.00014515168088198097
408	652.9059	2.406	0.0021938934867251824	0.0	11.936846892675597	1.0	0.4	0.6	100.0	4.999750012499375e-05	0.00014515168088198097
621	1350.7302	3.321	0.0018526068058583077	0.0	11.692977914391072	1.0	0.2	0.8	100.0	4.999750012499375e-05	0.00014515168088198097
1983	519.3457	6.994017	0.0	0.0018048824887015478	-11.655337627634836	0.4	1.0	-0.6	0.0	4.999750012499375e-05	0.00014515168088198097
419	644.3518	3.276	0.0015011852967111027	0.0	11.389625264444359	1.0	0.3	0.7	100.0	4.999750012499375e-05	0.00014515168088198097
1549	484.365	6.90449	0.0	0.0013065702184636124	-11.18938795202552	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.00014515168088198097
528	644.8561	3.276	0.0012604968808535397	0.0	11.137618420030662	1.0	0.2	0.8	100.0	4.999750012499375e-05	0.00014515168088198097
685	1303.7988	2.405	0.0012318587646168882	0.0	11.10447761581514	1.0	0.1	0.9	100.0	4.999750012499375e-05	0.00014515168088198097
2088	500.3348	7.417012	0.0	0.0011983804720557339	-11.064745083089786	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.00014515168088198097
676	1125.1307	3.832	0.0011392422587750085	0.0	10.991768592894477	1.0	0.0	1.0	100.0	4.999750012499375e-05	0.00014515168088198097
545	987.5446	3.911	0.0011262626550584264	0.0	10.975245506985416	1.0	0.4	0.6	100.0	4.999750012499375e-05	0.00014515168088198097
967	575.3793	1.722	0.0010856024368144901	0.0	10.92222489504192	1.0	0.1	0.9	100.0	4.999750012499375e-05	0.00014515168088198097
7134	504.2473	1.393	0.0	0.0010789063839413181	-10.913303333424917	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.00014515168088198097
807	885.4615	2.026	0.0010711127254543799	0.0	10.902849407468127	1.0	0.0	1.0	100.0	4.999750012499375e-05	0.00014515168088198097
23746	465.1949	1.661	0.0	0.0010601286032632191	-10.887986182741303	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.00014515168088198097
