species	life_stage	n_plate_pairs	n_tested	n_depleted	n_enriched	frac_depleted	frac_enriched
dendrobatidis	Zoospore	5	26574	61	187	0.0023	0.007
dendrobatidis	Sporangium	5	26574	315	305	0.0119	0.0115
dendrobatidis	Mature	5	26574	1990	962	0.0749	0.0362
salamandrivorans	Zoospore	5	26574	104	263	0.0039	0.0099
salamandrivorans	Sporangium	5	26574	1158	932	0.0436	0.0351
salamandrivorans	Mature	5	26574	3729	1539	0.1403	0.0579
