row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value	comparison	species	family	group_a	group_b	direction	liq_over_spore_log2fc	row ID	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class	sirius_source_feature_id	sirius_source_run	annotation_origin	n_candidates	source_mz	source_rt	feature_mz	feature_rt	ppm_error	rt_delta_min	ms2_cosine	match_class	match_status	n_sirius_hits	sirius_hit_ids	sirius_hit_formulas	merged_conflict	is_liq_enriched	passes_media_blank	is_secreted_candidate	bioactive
216	498.3716	6.914607	1.052497268613105e-06	0.0207563022959735	-13.65224702235637	0.5	1.0	-0.5	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-12.202293268351818	216.0	C30H51O4	[M + Na]+	N-dibutoxyphosphoryloctadecanamide	CCCCCCCCCCCCCCCCCC(=O)NP(=O)(OCCCC)OCCCC	0.235	Fatty acids	Ceramides	Sphingolipids	216.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	216.0	C30H51O4	False	False	True	False	True
7440	470.3501	6.7472	0.0	0.0028926073587631	-12.335635024519936	0.3	1.0	-0.7	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-9.397544639673976	7440.0	C26H47NO6	[M + H]+	(2S,3S,4S,5R)-2,3,4,5,6-pentahydroxy-N-octadecylhexanamide	CCCCCCCCCCCCCCCCCCNC(=O)C(C(C(C(CO)O)O)O)O	0.125	Fatty acids	Open-chain polyketides	Fatty Acyls	7440.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	7440.0	C26H47NO6	False	False	True	False	True
621	1350.7302	3.321	0.0018526068058583	0.0	11.692977914391072	1.0	0.2	0.8	100.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_liq_Developed	11.713958987313369	621.0	C78H103N5O11S2	[M + H]+	4-(15'-{3-[3-(3-cyano-1H-pyrrol-1-yl)-4-hydroxy-2-(methoxymethyl)butyl]-4-(prop-2-en-1-yl)phenoxy}-3'-(2-{7-cyclopentyl-3-hydroxy-5-azatetracyclo[6.6.2.0⁴,¹⁶.0¹¹,¹⁵]hexadeca-1(15),8(16),9,11,13-pentaen-6-yl}ethyl)-7',7a,16',17'-tetrahydroxy-12'-(3-hydroxypropyl)-1,2,3,3a,4,5,6,6a,7,7a,8,10,11,11a-tetradecahydro-2',11',14'-trioxaspiro[cyclopenta[f]fluorene-9,5'-tricyclo[11.2.2.1¹,⁶]octadecan]-3'-en-9'-yn-6-yl)benzoic acid	COCC(CC1=C(C=CC(=C1)OC2C34CC(C(CC#COC(C(O2)C(C3O)O)CCCO)O)C5(CCC6C78CCCC7CCC(C8CC6(C5)O)C9=CC=C(C=C9)C(=O)O)C=C(O4)CCC1C(C2=C3C(N1)C(CC1=CC=CC(=C13)C=C2)O)C1CCCC1)CC=C)C(CO)N1C=CC(=C1)C#N	0.016	Polyketides	Depsipeptides	Carboxylic acids and derivatives	7461.0	EB-MSV000090464-gnps_ms2	transferred	1.0	1350.7306	3.33	1350.7302	3.321	-0.296	-0.009	0.9995	unique	assigned	1.0	7461.0	C78H103N5O11S2	False	True	False	False	True
1549	484.365	6.90449	0.0	0.0013065702184636	-11.18938795202552	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-10.527927647179238	1549.0	C27H49NO6	[M + H]+	1-O-(4-methoxy-3,3,7,7-tetramethylcyclooctyl) 4-O-(1-methoxy-2,2,6,6-tetramethylpiperidin-4-yl) butanedioate	CC1(CCC(C(CC(C1)OC(=O)CCC(=O)OC2CC(N(C(C2)(C)C)OC)(C)C)(C)C)OC)C	0.05	Polyketides	Open-chain polyketides	Carboxylic acids and derivatives	9060.0	EB-MSV000090464-gnps_ms2	transferred	3.0	484.3646	6.9	484.365	6.90449	0.826	0.004	1.0	ms2_tie	assigned	1.0	9060.0	C27H49NO6	False	False	False	False	True
1035	1151.5947	1.627	0.0009118442351576	0.0	10.670729998817622	1.0	0.0	1.0	100.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_liq_Developed	10.777050242911105	1035.0	C67H82N4O13	[M + H]+	1-(1-{8-[1-(5-{13-[(ethylamino)methoxy]-3,11-dihydroxy-15-[2-(methylamino)ethoxy]-6-oxa-10-azapentacyclo[10.6.2.0²,⁷.0⁹,¹⁹.0¹⁶,²⁰]icosa-1,7,9(19),12,14,16(20)-hexaen-4-yl}-2-hydroxy-3-methoxyphenoxy)-3-hydroxypropan-2-yl]-15-(2-hydroxyethyl)-14-(hydroxymethyl)pentacyclo[10.6.2.0²,⁷.0⁸,²⁰.0¹³,¹⁸]icosa-2,4,6,16-tetraen-10-yl}cyclohexyl)-2,5-dihydro-1H-pyrrole-2,5-dione	CCNCOC1=C2C(NC3=CC4=C(C(C(CO4)C5=CC(=C(C(=C5)OCC(CO)C67CC(CC8C6CC(C9C8C(C(C=C9)CCO)CO)C4=CC=CC=C74)C4(CCCCC4)N4C(=O)C=CC4=O)O)OC)O)C4=C3C2=C(CC4)C(=C1)OCCNC)O		Polyketides	Depsipeptides	Peptidomimetics	2474.0	EB-MSV000090464-gnps_ms2	transferred	3.0	1151.595	1.57	1151.5947	1.627	-0.261	0.057	0.9767	unique	assigned	1.0	2474.0	C67H82N4O13	False	True	False	False	True
4510	408.2949	7.325145	0.0	0.0007733798286638	-10.43327818450978	0.2	1.0	-0.8	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-9.439640654345835	4510.0	C24H41NO2S	[M + H]+	1,3-Bis(2-ethylhexyl)hexahydro-5-methyl-5-nitropyrimidine	CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)[N+](=O)[O-]	0.287	Terpenoids	Menthane monoterpenoids	Prenol lipids	9243.0	EB-MSV000090464-gnps_ms2	transferred	2.0	408.2947	7.32	408.2949	7.325145	0.49	0.005	0.9948	unique	assigned	1.0	9243.0	C24H41NO2S	False	False	False	False	True
6989	991.7105	6.985234	0.0	0.0006531789773323	-10.189771401942586	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-7.612661088009949	6989.0	C52H98N2O15	[M + H]+	N-[(2S,3R,4R,5R,6R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-2-(hydroxymethyl)-6-(2-tetradecylhexadecoxy)-4-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide	CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)OC3C(C(C(C(O3)C)O)O)O)NC(=O)C		Fatty acids	Neutral glycosphingolipids	Sphingolipids	6989.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	6989.0	C52H98N2O15	False	False	False	False	True
2100	825.6931	7.034258	0.0	0.0005209522933914	-9.863757794838657	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-8.057645719634687	2100.0	C48H92N2O8	[M + H]+	tert-butyl N-[2-[2-[2-[2-[2,3-bis[(Z)-hexadec-9-enoxy]propanoylamino]ethoxy]ethoxy]ethoxy]ethyl]carbamate	CCCCCCC=CCCCCCCCCOCC(C(=O)NCCOCCOCCOCCNC(=O)OC(C)(C)C)OCCCCCCCCC=CCCCCCC	0.027	Fatty acids	Neutral glycosphingolipids	Sphingolipids	9132.0	EB-MSV000090464-gnps_ms2	transferred	1.0	825.6932	7.03	825.6931	7.034258	-0.121	0.004	0.9999	unique	assigned	1.0	9132.0	C48H92N2O8	False	False	False	False	True
11771	729.5649	8.486998	0.0	0.0004919706426579	-9.781269973672185	0.2	1.0	-0.8	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-10.069981450855469	11771.0	C45H76O7	[M + H]+		CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCC=CCC=CCC(C=CC=CC=CC(CC=CCC)O)O	0.034	Terpenoids	Diacylglycerols	Fatty Acyls	11771.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	11771.0	C45H76O7	False	False	False	False	True
18615	1372.0262	8.665312	0.0	0.000479671318387	-9.744785961362432	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.0001451516808819	dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-9.954115553989755	18615.0	C76H142N2O18	[M + H]+	(6Z)-6-[3-[4-[bis(2-hexyloctyl)amino]phenyl]-2-hydroxy-4-oxocyclobut-2-en-1-ylidene]-3-[(E)-2-[(4Z)-4-[3-[4-[bis(2-hexyloctyl)amino]phenyl]-2-hydroxy-4-oxocyclobut-2-en-1-ylidene]-5-hydroxy-3-oxocyclohexa-1,5-dien-1-yl]ethenyl]-5-hydroxycyclohexa-2,4-dien-1-one	CCCCCCC(CCCCCC)CN(CC(CCCCCC)CCCCCC)C1=CC=C(C=C1)C2=C(C(=C3C(=CC(=CC3=O)C=CC4=CC(=O)C(=C5C(=C(C5=O)C6=CC=C(C=C6)N(CC(CCCCCC)CCCCCC)CC(CCCCCC)CCCCCC)O)C(=C4)O)O)C2=O)O		Fatty acids	Ceramides	Sphingolipids	18615.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	18615.0	C76H142N2O18	False	False	False	False	True
