comparison	species	family	group_a	group_b	n_a	n_b	n_tested	n_significant
dendrobatidis_spore_Zoospore_vs_spore_Developed	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	5	10	12651	3733
dendrobatidis_liq_Zoospore_vs_liq_Developed	dendrobatidis	life_stage	liq_Zoospore	liq_Developed	5	10	17629	505
salamandrivorans_spore_Zoospore_vs_spore_Developed	salamandrivorans	life_stage	spore_Zoospore	spore_Developed	5	10	13284	4381
salamandrivorans_liq_Zoospore_vs_liq_Developed	salamandrivorans	life_stage	liq_Zoospore	liq_Developed	5	10	20191	2384
dendrobatidis_liq_Developed_vs_spore_Developed	dendrobatidis	secreted_vs_cellular	liq_Developed	spore_Developed	10	10	21131	15685
dendrobatidis_liq_Zoospore_vs_spore_Zoospore	dendrobatidis	secreted_vs_cellular	liq_Zoospore	spore_Zoospore	5	5	18838	9327
salamandrivorans_liq_Developed_vs_spore_Developed	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	10	10	23063	16263
salamandrivorans_liq_Zoospore_vs_spore_Zoospore	salamandrivorans	secreted_vs_cellular	liq_Zoospore	spore_Zoospore	5	5	21064	9335
