row_id	mz	rt	median_a	median_b	log2FC_a_over_b	U_stat	p_value	q_value
485	992.7163	6.912551	0.0	0.0010624518705072304	-30.98475034273601	0.0	0.007494957516935239	0.029306536922487633
1070	1013.7056	6.994787	0.0	0.0007321696129279759	-30.44760265911878	0.0	0.007494957516935239	0.029306536922487633
1259	1021.7594	7.492698	0.0	0.000729439355977676	-30.442212800647606	0.0	0.007494957516935239	0.029306536922487633
642	999.7849	7.47396	0.0	0.0007217015617767768	-30.42682713688666	0.0	0.007494957516935239	0.029306536922487633
942	991.7229	6.975083	0.0	0.0006405808815699136	-30.254805501085205	0.0	0.007494957516935239	0.029306536922487633
1630	1014.7009	6.997654	0.0	0.0004675050425755915	-29.800406686839075	0.0	0.007494957516935239	0.029306536922487633
2245	1023.7728	7.419844	0.0	0.00045985122797547487	-29.776591953625324	0.0	0.007494957516935239	0.029306536922487633
1876	1022.7666	7.489773	0.0	0.00045154155687571353	-29.750283530549936	0.0	0.007494957516935239	0.029306536922487633
969	1000.7903	7.475528	0.0	0.0004462686880666069	-29.733337345804358	0.0	0.007494957516935239	0.029306536922487633
2018	1017.7281	7.135615	0.0	0.00042770649230079136	-29.67204586731947	0.0	0.007494957516935239	0.029306536922487633
1554	992.7179	6.973145	0.0	0.00036929179096577297	-29.460185954100492	0.0	0.007494957516935239	0.029306536922487633
1091	993.7266	6.912943	0.0	0.00036872056208010523	-29.457952633098152	0.0	0.007494957516935239	0.029306536922487633
1006	1001.7834	7.410809	0.0	0.00035182228804711704	-29.39027164201627	0.0	0.007494957516935239	0.029306536922487633
3004	974.7642	7.402722	0.0	0.00032174351656725884	-29.261335838425552	0.0	0.007494957516935239	0.029306536922487633
2513	536.3905	7.714781	0.0	0.00030583848620357166	-29.188194725910865	0.0	0.007494957516935239	0.029306536922487633
1957	969.7318	7.386387	0.0	0.00028589037733129817	-29.09088682331878	0.0	0.007494957516935239	0.029306536922487633
2606	1069.7582	7.291365	0.0	0.000285693155097703	-29.089891232882696	0.0	0.007494957516935239	0.029306536922487633
2423	523.3823	7.698664	0.0	0.00026369605535519276	-28.974300751838314	0.0	0.007494957516935239	0.029306536922487633
3112	1018.7302	7.137263	0.0	0.00024996797527310677	-28.897168037375483	0.0	0.007494957516935239	0.029306536922487633
3554	1070.7712	7.295359	0.0	0.00022786033012531907	-28.763574539377224	0.0	0.007494957516935239	0.029306536922487633
