row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value	species	family	group_a	group_b	direction	liq_over_spore_log2fc	row ID	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class	sirius_source_feature_id	sirius_source_run	annotation_origin	n_candidates	source_mz	source_rt	feature_mz	feature_rt	ppm_error	rt_delta_min	ms2_cosine	match_class	match_status	n_sirius_hits	sirius_hit_ids	sirius_hit_formulas	merged_conflict	is_liq_enriched	passes_media_blank	is_secreted_candidate	bioactive
468	628.3434	0.576	0.0	0.0036770798489285	-13.181533434170497	0.2	1.0	-0.8	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-12.360054947956309	468.0	C31H45N7O7	[M + H]+	H-Pro-Ala-Pro-Phe-Ala-Ala-Ala-al	CC(C=O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C3CCCN3	0.608	Amino acids and Peptides	Linear peptides	Carboxylic acids and derivatives	334.0	EB-MSV000090464-gnps_ms2	transferred	1.0	628.3434	0.59	628.3434	0.576	0.0	-0.014	0.9999	unique	assigned	1.0	334.0	C31H45N7O7	False	False	False	False	False
170	769.4848	2.0465	0.0026921477582001	0.0	12.731787334503997	1.0	0.1	0.9	100.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_liq_Developed	12.743988264374698	170.0	C41H64N6O8	[M + H]+	(2S)-2-[[(2S,3S)-2-[[(2S)-2-[[(2S)-1-[(2S)-6-amino-2-[[(2S)-2,6-diaminohexyl]amino]hexanoyl]pyrrolidine-2-carbonyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylpentanoyl]amino]-4-methylpentanoic acid	CCC(C)C(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C2CCCN2C(=O)C(CCCCN)NCC(CCCCN)N	0.197	Amino acids and Peptides	Linear peptides	Carboxylic acids and derivatives	4076.0	EB-MSV000090464-gnps_ms2	transferred	1.0	769.4849	2.04	769.4848	2.0465	-0.13	0.006	1.0	unique	assigned	1.0	4076.0	C41H64N6O8	False	True	False	False	False
50	474.381	7.392348	5.032080783860328e-06	0.0294224206857405	-12.404249722185217	1.0	1.0	0.0	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-11.59740757780432	50.0	C26H51NO6	[M + H]+		CCCCCCCCCCCCCCCC(=O)OCC(COCCC(C(=O)O)[N+](C)(C)C)O	0.159	Fatty acids	N-acyl amines	Fatty Acyls	9268.0	EB-MSV000090464-gnps_ms2	transferred	2.0	474.3811	7.39	474.381	7.392348	-0.211	0.002	1.0	ms2_tie	assigned	1.0	9268.0	C26H51NO6	False	False	True	False	False
824	474.2638	6.147482	0.0	0.0018193644283569	-12.16656603267455	0.0	1.0	-1.0	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-11.849057328972188	824.0	C23H40NO7P	[M + H]+	(2-aminoethoxy)[2-hydroxy-3-(octadeca-6,9,12,15-tetraenoyloxy)propoxy]phosphinic acid	CCC=CCC=CCC=CCC=CCCCCC(=O)OCC(COP(=O)(O)OCCN)O	0.481	Fatty acids	Glycerophosphoethanolamines	Carboxylic acids and derivatives	8909.0	EB-MSV000090464-gnps_ms2	transferred	2.0	474.2636	6.15	474.2638	6.147482	0.422	-0.003	1.0	ms2_tie	assigned	1.0	8909.0	C23H40NO7P	False	False	True	False	False
1037	500.3878	7.140046	0.0	0.0017653372369874	-12.123084896986224	0.4	1.0	-0.6	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-9.78949385732077																											False	True	False	False
876	474.2639	6.275607	0.0	0.001635739786587	-12.01310997166014	0.4	1.0	-0.6	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-9.187697143051697	876.0	C23H40NO7P	[M + H]+	(2-aminoethoxy)[2-hydroxy-3-(octadeca-6,9,12,15-tetraenoyloxy)propoxy]phosphinic acid	CCC=CCC=CCC=CCC=CCCCCC(=O)OCC(COP(=O)(O)OCCN)O	0.498	Fatty acids	Glycerophosphoethanolamines	Carboxylic acids and derivatives	8932.0	EB-MSV000090464-gnps_ms2	transferred	2.0	474.2636	6.27	474.2639	6.275607	0.633	0.006	1.0	ms2_tie	assigned	1.0	8932.0	C23H40NO7P	False	False	True	False	False
168	384.8699	1.607277	0.0016289344185406	0.0	12.007096688821612	1.0	0.0	1.0	100.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_liq_Developed	11.977700527721694	168.0	C6H12N2OS8	[M + H]+							168.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	168.0	C6H12N2OS8	False	True	False	False	False
1243	502.4113	7.817723	0.0	0.0015524366933724	-11.93771987606049	0.1	1.0	-0.9	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-11.858828196102714	1243.0	C28H55NO6	[M + H]+	[2-Acetyloxy-4-(3-hexadecoxy-2-hydroxypropoxy)-4-oxobutyl]-trimethylazanium	CCCCCCCCCCCCCCCCOCC(COC(=O)CC(C[N+](C)(C)C)OC(=O)C)O	0.485	Fatty acids	Fatty acyl carnitines	Fatty Acyls	9457.0	EB-MSV000090464-gnps_ms2	transferred	3.0	502.4112	7.82	502.4113	7.817723	0.199	-0.002	1.0	unique	assigned	1.0	9457.0	C28H55NO6	False	False	False	False	False
186	480.3059	7.126273	0.0	0.0015384184578876	-11.924636766248888	0.3	1.0	-0.7	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-11.550169213384576	186.0	C23H46NO7P	[M + H]+	1-Oleoyl-Sn-Glycero-3-Phosphoethanolamine	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	0.429	Fatty acids	Glycerophosphoethanolamines	Carboxylic acids and derivatives	9186.0	EB-MSV000090464-gnps_ms2	transferred	2.0	480.3105	7.14	480.3059	7.126273	-9.577	-0.014	1.0	ms2_tie	assigned	1.0	9186.0	C23H46NO7P	False	False	False	False	False
893	534.2571	1.9785	0.0	0.0013168075870675	-11.700295796282276	0.2	1.0	-0.8	0.0	4.999750012499375e-05	0.0001765838201198	salamandrivorans	secreted_vs_cellular	liq_Developed	spore_Developed	up_in_spore_Developed	-11.265858853244762	893.0	C25H35N5O8	[M + H]+	H-Ser-Pro-Ser-Phe-Pro-OH	C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CO)NC(=O)C3CCCN3C(=O)C(CO)N)C(=O)O	0.773	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	893.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	893.0	C25H35N5O8	False	False	False	False	False
