formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C11H17N3O6S2	[M + H]+	C11H18N3O6S2+		1.000	125.485	125.485	0.000	31	0.866	1.525	1.945	0.131		352.063	35	0.589	878148510663134890	878148353578061345	878148353569672736	6047	
1	C9H21N5O4	[M + H]+	C9H22N5O4+		0.973	121.935	121.935	0.000	32	0.835	1.148	1.611	4.805		264.168	36	0.606	878148408091430554	878148352219106829	878148352210718220	1684	
1	C32H45N5O7S	[M + H]+	C32H46N5O7S+		0.884	110.432	110.432	0.000	27	0.805	-0.516	1.897	-10.471		644.305	37	0.612	878148951362850540	878148353078939161	878148353070550552	3815	
1	C14H21N3O5	[M + H]+	C14H22N3O5+		0.999	102.734	102.734	0.000	29	0.941	1.116	1.945	5.135		312.157	47	0.779	878148404190727824	878148354991541817	878148354983153208	9652	
1	C11H17FN2O2	[M + H]+	C11H18FN2O2+		0.994	50.175	50.175	0.000	14	0.927	2.406	3.161	0.949		229.135	49	0.821	878148960124751606	878148357973692021	878148357969497716	29646	
1	CI3O	[M + H]+	CHI3O+		0.500	-4.215	-4.215	0.000	0	0.000			-0.757		409.715	59	0.990	878148409827872421	878148356606348885	878148356602154580	15191	
1	C13H20N4O4	[M + H]+	C13H21N4O4+		0.939	26.601	26.601	0.000	9	0.946	-0.051	2.420	-0.779		297.156	77	1.287	878148950746287841	878148354056212009	878148354047823400	6862	
1	C13H27NO4	[M + H]+	C13H28NO4+		1.000	23.498	23.498	0.000	4	0.981	0.202	2.728	3.109		262.202	112	1.861	878148607631249098	878148354282704429	878148354274315820	7500	
1	C27H45N9O9	[M + Na]+	C27H45N9NaO9+		0.682	53.004	53.004	0.000	11	0.748	1.816	3.758	5.217		662.327	122	2.027	878149245463252737	878148357944331889	878148357940137584	27956	
1	C5H8N4O2S	[M + Na]+	C5H8N4NaO2S+		0.998	79.700	79.700	0.000	16	0.297	-4.346	8.197	-6.242		211.025	126	2.102	878148539196985012	878148357063528029	878148357059333724	16928	
1	C36H60N10O14	[M + H]+	C36H61N10O14+		0.562	135.372	135.372	0.000	50	0.964	1.055	2.662	8.254		857.443	145	2.415	878151404317661845	878148351342497285	878148351296359940	450	
1	C25H31N7O8	[M + H]+	C25H32N7O8+		0.456	93.312	93.312	0.000	26	0.720	1.579	2.023	2.530		558.232	164	2.740	878148940424105686	878148357424238181	878148357420043876	20148	
1	C27H39N5O8	[M + H]+	C27H40N5O8+		0.998	85.378	85.378	0.000	21	0.779	0.959	1.222	2.241		562.288	166	2.769	878148601981521599	878148354509196849	878148354500808240	7822	
1	C9H11Br3O6	[M + K]+	C9H11Br3KO6+		0.590	0.391	0.391	0.000	0	0.000			5.639		490.777	167	2.783	878148410326994599	878148355872345673	878148355868151368	12578	
1	C28H39N5O7	[M + H]+	C28H40N5O7+		0.929	52.065	52.065	0.000	17	0.929	1.035	1.264	4.075		558.295	232	3.864	878149959707086605	878148354756660789	878148354748272180	8773	
1	C56H68N2O13	[M + H]+	C56H69N2O13+		0.655	53.899	53.899	0.000	11	0.415	4.332	8.197	2.029		977.481	237	3.954	878150332551352100	878148356103032397	878148356098838092	13467	
1	C38H78N2	[M + H]+	C38H79N2+		1.000	31.457	31.457	0.000	5	0.296	5.886	5.886	2.880		563.625	253	4.212	878150267917127459	878148356363079249	878148356354690640	14577	
1	C29H52N10O12	[M + H]+	C29H53N10O12+		0.881	82.435	82.435	0.000	28	0.896	1.448	1.916	-0.673		733.383	259	4.324	878150391049309999	878148353821330981	878148353817136676	6457	
1	C18H25Br3N4O5S	[M + Na]+	C18H25Br3N4NaO5S+		0.653	44.687	44.687	0.000	20	0.812	1.508	1.832	4.189		668.902	264	4.395	878150267132792600	878148357600398953	878148357596204648	21842	
1	C25H40N4O7	[M + H]+	C25H41N4O7+		0.999	75.334	75.334	0.000	15	0.840	1.149	2.431	-1.917		509.296	275	4.580	878150410099838778	878148356858007129	878148356845424216	16128	
1	C14H30O3	[M + H]+	C14H31O3+		0.977	70.159	70.159	0.000	10	0.904	3.045	3.589	0.925		247.227	429	7.148	878150413501419332	878148355666824773	878148355662630468	11672	
1	C45H72N2O3	[M + Na]+	C45H72N2NaO3+		0.548	40.376	40.376	0.000	14	0.704	3.284	7.046	-0.021		711.544	486	8.107	878150519063662413	878148357248077409	878148357243883104	18450	
1	C47H80O7	[M + H]+	C47H81O7+		0.935	51.541	51.541	0.000	21	0.713	3.328	3.988	-4.727		757.594	528	8.801	878150892956504290	878148357776559725	878148357772365420	24694	
1	C5H7N3O2S	[M + Na]+	C5H7N3NaO2S+		0.819	24.781	24.781	0.000	4	0.955	7.942	8.068	8.580		196.017	653	10.887	878150898828530335	878148352525291025	878148352516902416	1984	
