row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
468	628.3434	0.576	0.0	0.005844277087279607	-13.855484996483808	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
50	474.381	7.392348	2.0029157483001706e-06	0.0287343775925841	-13.549141076625128	1.0	1.0	0.0	0.0	0.007936507936507936	0.018283868476689596
170	769.4848	2.0465	0.0027175555870684333	0.0	12.750881944592903	1.0	0.2	0.8	25.0	0.007936507936507936	0.018283868476689596
1720	699.3788	1.31	0.0	0.002105411999016505	-12.382735827929865	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
168	384.8699	1.607277	0.0019708747933370233	0.0	12.287487820127545	1.0	0.0	1.0	25.0	0.007936507936507936	0.018283868476689596
1243	502.4113	7.817723	0.0	0.00181524745744159	-12.168842666241174	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
695	561.3036	1.023	0.0	0.0016756516548985395	-12.053424799646953	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
394	577.2634	1.6295	0.0	0.0016594583039406718	-12.03941822840341	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
1037	500.3878	7.140046	0.0	0.0016094251649123518	-11.995261998559142	0.2	1.0	-0.8	0.0	0.007936507936507936	0.018283868476689596
893	534.2571	1.9785	0.0	0.0015160722537102336	-11.909076773793528	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
110	679.3564	0.826703	0.0015122539097648076	0.0	11.905439599789174	1.0	0.4	0.6	25.0	0.007936507936507936	0.018283868476689596
727	449.2422	2.216651	0.0	0.001507881294117963	-11.901263158633402	0.4	1.0	-0.6	0.0	0.007936507936507936	0.018283868476689596
1	500.3936	7.416574	1.5052889024583167e-05	0.05842142838629399	-11.884945905093318	1.0	1.0	0.0	0.0	0.007936507936507936	0.018283868476689596
824	474.2638	6.147482	0.0	0.0014541247683697359	-11.848905305247026	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
1991	715.3116	1.673	0.0	0.001383918194187951	-11.77753274927053	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
1745	637.2665	2.346	0.0	0.0013743613132125479	-11.767538273423819	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
2	496.3623	6.914613	3.2777884004814216e-05	0.10169512530377045	-11.581993838781724	1.0	1.0	0.0	0.0	0.007936507936507936	0.018283868476689596
876	474.2639	6.275607	0.0	0.001191112158970459	-11.561149870825433	0.0	1.0	-1.0	0.0	0.007936507936507936	0.018283868476689596
1239	250.0942	0.556158	0.0	0.0011870029534289683	-11.556165779837386	0.2	1.0	-0.8	0.0	0.007936507936507936	0.018283868476689596
592	960.447	3.931	0.0011438879004831831	0.0	11.502805989840672	1.0	0.2	0.8	25.0	0.007936507936507936	0.018283868476689596
