row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
5453	440.2626	1.31269	0.0014482111455920922	0.0	8.799041232645715	1.0	0.2	0.8	25.0	0.007936507936507936	0.14960594960594958
9656	440.2633	1.574776	0.0010029722289114722	0.0	8.270488033856543	1.0	0.2	0.8	25.0	0.007936507936507936	0.14960594960594958
9678	1045.7749	7.414748	0.0	0.0008209095328280465	-7.982537327685763	0.2	1.0	-0.8	0.0	0.007936507936507936	0.14960594960594958
6414	514.2646	2.248984	0.0007933546886704844	0.0	7.933478192920103	1.0	0.2	0.8	25.0	0.007936507936507936	0.14960594960594958
8123	1069.7589	7.353649	0.0	0.0007208364426003572	-7.79577772260563	0.4	1.0	-0.6	0.0	0.007936507936507936	0.14960594960594958
5543	548.241	0.68	0.0006505370373875804	0.0	7.6484384018929115	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
3688	418.7219	0.557158	0.0006122498495291511	0.0	7.561377314898169	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
7325	1005.7374	7.207563	0.0	0.00041653384418148087	-7.009274866090222	0.4	1.0	-0.6	0.0	0.007936507936507936	0.14960594960594958
13286	263.1165	2.047486	0.0003977383837198377	0.0	6.943190052970786	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
15933	1047.7842	7.353649	0.0	0.0003960245727183022	-6.9370109410214225	0.4	1.0	-0.6	0.0	0.007936507936507936	0.14960594960594958
7799	514.2643	2.395	0.00038878830560510274	0.0	6.910624941913951	1.0	0.2	0.8	25.0	0.007936507936507936	0.14960594960594958
7134	504.2473	1.393	0.00026668950430234724	0.0	6.372280774589695	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
18715	1048.7859	7.361683	0.0	0.0002510779965784262	-6.286337759786846	0.4	1.0	-0.6	0.0	0.007936507936507936	0.14960594960594958
19789	1089.7855	7.569593	0.0	0.00024465491566209846	-6.249435620616412	0.2	1.0	-0.8	0.0	0.007936507936507936	0.14960594960594958
3653	418.722	0.581	0.000237095973596365	0.0	6.204762953010289	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
13503	1049.7821	7.298761	0.0	0.00022780153362687288	-6.147867063091903	0.0	1.0	-1.0	0.0	0.007936507936507936	0.14960594960594958
21458	515.272	2.250336	0.00022770236559709734	0.0	6.147247744104949	1.0	0.2	0.8	25.0	0.007936507936507936	0.14960594960594958
2221	851.417	2.025	0.0002219717224037196	0.0	6.110999769971233	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
24772	643.1669	0.6185	0.0002070889861611607	0.0	6.0123739697246075	1.0	0.2	0.8	25.0	0.007936507936507936	0.14960594960594958
21517	515.2672	2.326	0.0002054641652470439	0.0	6.001186670600704	1.0	0.4	0.6	25.0	0.007936507936507936	0.14960594960594958
