row_id	mz	rt	median_a	median_b	log2FC_a_over_b	U_stat	p_value	q_value
437	437.2026	0.583	0.0001030467647399202	0.0	27.618723976779826	50.0	0.00035320144500598734	0.009016257943296569
26297	1022.4544	3.072739	9.543026019832068e-05	0.0	27.50794347799906	50.0	0.00035320144500598734	0.009016257943296569
28150	1144.5294	3.316966	6.618473294080577e-05	0.0	26.979995139110308	50.0	0.00035320144500598734	0.009016257943296569
32362	1145.5394	3.314	4.667550569571131e-05	0.0	26.476162332770834	50.0	0.00035320144500598734	0.009016257943296569
30682	1040.4895	3.073261	4.4360822986859314e-05	0.0	26.402782811257172	50.0	0.00035320144500598734	0.009016257943296569
35679	1023.4617	3.072297	4.354257024901684e-05	0.0	26.37592325082291	50.0	0.00035320144500598734	0.009016257943296569
38077	1044.4318	3.073261	3.4422392405862846e-05	0.0	26.036844055413773	50.0	0.00035320144500598734	0.009016257943296569
16405	462.2179	1.753	2.819985770706167e-05	0.0	25.749184572775917	50.0	0.00035320144500598734	0.009016257943296569
4830	788.3823	2.042	2.5406403650646782e-05	0.0	25.59868886482401	50.0	0.00035320144500598734	0.009016257943296569
9671	476.2344	0.569062	2.4388846332425783e-05	0.0	25.539718209616183	50.0	0.00035320144500598734	0.009016257943296569
9264	476.2405	1.691	2.3445496490958162e-05	0.0	25.482807525432403	50.0	0.00035320144500598734	0.009016257943296569
6668	590.2912	0.745188	2.2519853938441994e-05	0.0	25.42469416651349	50.0	0.00035320144500598734	0.009016257943296569
34453	304.8921	0.577375	2.1451581372516533e-05	0.0	25.354580702401993	50.0	0.00035320144500598734	0.009016257943296569
2209	453.2788	6.572622	1.692831633222258e-05	0.0005468607986738854	-4.452662463481265	0.0	0.000666000666000666	0.009016257943296569
1803	951.5461	6.657609	1.933968829086364e-05	0.000561553622123087	-4.33157014308657	0.0	0.000666000666000666	0.009016257943296569
25110	282.91	8.406624	0.00016835033469320466	6.6325583985153085e-06	4.285373142555177	50.0	0.000666000666000666	0.009016257943296569
2774	675.6765	8.805094	0.0004709946577014708	2.5273936390711213e-05	4.049712997169086	50.0	0.000666000666000666	0.009016257943296569
3679	450.2644	6.208732	1.6125787774165354e-05	0.0003125962492894007	-3.9057094606473948	0.0	0.000666000666000666	0.009016257943296569
158	320.1621	1.969352	0.00018894665628210367	0.0035775911679684683	-3.7999496150684564	0.0	0.000666000666000666	0.009016257943296569
800	321.1645	1.969492	3.689014216249861e-05	0.0006702714351314531	-3.770831024350403	0.0	0.000666000666000666	0.009016257943296569
