row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value	species	family	group_a	group_b	direction	liq_over_spore_log2fc	row ID	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class	sirius_source_feature_id	sirius_source_run	annotation_origin	n_candidates	source_mz	source_rt	feature_mz	feature_rt	ppm_error	rt_delta_min	ms2_cosine	match_class	match_status	n_sirius_hits	sirius_hit_ids	sirius_hit_formulas	merged_conflict	is_liq_enriched	passes_media_blank	is_secreted_candidate	bioactive
1304	290.2694	3.5455	0.0	0.0013438901250288	-8.02220069760607	0.2	1.0	-0.8	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-5.9192997101912175	1304.0	C16H35NO3	[M + H]+	1-[Bis(2-hydroxyethyl)amino]dodecan-2-ol	CCCCCCCCCCC(CN(CCO)CCO)O	0.404	Fatty acids	Sphingoid bases	Organonitrogen compounds	7727.0	EB-MSV000090464-gnps_ms2	transferred	2.0	290.2692	3.45	290.2694	3.5455	0.689	0.095	0.9984	unique	assigned	1.0	7727.0	C16H35NO3	False	False	True	False	True
7134	504.2473	1.393	0.0	0.0010837393248841	-7.713134821776128	0.0	1.0	-1.0	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-10.722696060797574	7134.0	C17H37N5O12	[M + H]+	H-DL-Val-DL-Val-DL-His-DL-Gln-OH	CC(C)C(C(=O)NC(C(C)C)C(=O)NC(CC1=CN=CN1)C(=O)NC(CCC(=O)N)C(=O)O)N	0.191	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	7134.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	7134.0	C17H37N5O12	False	False	False	False	False
5340	511.2907	1.748756	0.0	0.0009481934373086	-7.521352848848465	0.2	1.0	-0.8	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-8.363877715760374	5340.0	C23H38N6O7	[M + H]+	Prolyl-glycyl-alanyl-isoleucyl-prolyl-glycine	CCC(C)C(C(=O)N1CCCC1C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)CNC(=O)C2CCCN2	0.638	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	3289.0	EB-MSV000090464-gnps_ms2	transferred	5.0	511.2866	1.79	511.2907	1.748756	8.019	-0.041	0.9983	ms2_tie	assigned	1.0	3289.0	C23H38N6O7	False	False	False	False	False
14175	304.6928	0.611	0.0	0.000560440665698	-6.768155969322602	0.0	1.0	-1.0	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-8.635164279204089																											False	False	False	False
8650	557.3322	2.727	0.0	0.000547795605222	-6.735537520551978	0.4	1.0	-0.6	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-9.142581684605869	8650.0	C25H44N6O8	[M + H]+	H-DL-Leu-Gly-DL-xiThr-DL-xiIle-DL-Pro-Gly-OH	CCC(C)C(C(=O)N1CCCC1C(=O)NCC(=O)O)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(C)C)N	0.87	Amino acids and Peptides	Linear peptides	Carboxylic acids and derivatives	6247.0	EB-MSV000090464-gnps_ms2	transferred	5.0	557.3319	2.75	557.3322	2.727	0.538	-0.023	0.9999	ms2_winner	assigned	1.0	6247.0	C25H44N6O8	False	False	False	False	False
11308	492.2036	3.400172	0.0	0.0005025570151435	-6.612405301077984	0.0	1.0	-1.0	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-9.794288531521731	11308.0	C21H29N7O5S	[M + H]+	methyl 4-[(3-{[(2,4-difluorophenyl)carbamoyl]amino}-1-(1-methyl-1H-pyrrole-2-carbonyl)pyrrolidin-2-yl)formamido]butanoate	CN1C=CC=C1C(=O)N2CCC(C2C(=O)NCCCC(=O)OC)NC(=O)NC3=C(C=C(C=C3)F)F	0.088	Amino acids and Peptides	Dipeptides	Carboxylic acids and derivatives	11308.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	11308.0	C21H29N7O5S	False	False	False	False	False
9305	458.2522	2.153247	0.0	0.0004906607431961	-6.578201322621987	0.0	1.0	-1.0	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-3.687092443625418	9305.0	C22H31N7O4	[M + H]+	3-Methylcyclo(Ala-Phe-D-Pro-3-guanidino-Ala-)	CCC1C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)N1)CN=C(N)N)CC3=CC=CC=C3	0.748	Amino acids and Peptides	Cyclic peptides	Carboxylic acids and derivatives	4505.0	EB-MSV000090464-gnps_ms2	transferred	1.0	458.2524	2.17	458.2522	2.153247	-0.436	-0.017	0.9999	unique	assigned	1.0	4505.0	C22H31N7O4	False	False	False	False	False
9024	342.3742	7.393912	0.0	0.0004540389401921	-6.467508820200631	0.4	1.0	-0.6	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-7.333322399213682	9024.0	C22H47NO	[M + H]+							9024.0	native-full-e9838293-bagel	native	1.0								native	native	1.0	9024.0	C22H47NO	False	False	False	False	False
8796	415.2254	7.086488	0.0	0.0004523542281734	-6.462206457863517	0.4	1.0	-0.6	0.0	0.0006660006660006	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Developed	-8.975704259697068	8796.0	C23H36O4	[M + K]+	6-[({4-[4-hydroxy-6-(hydroxymethyl)-2,2-dimethylcyclohexyl]butan-2-yl}oxy)methyl]oxane-2,3,4,5-tetrol	CC(CCC1C(CC(CC1(C)C)O)CO)OCC2C(C(C(C(O2)O)O)O)O	0.08	Fatty acids	Fatty acyl glycosides of mono- and disaccharides	Fatty Acyls	9154.0	EB-MSV000090464-gnps_ms2	transferred	1.0	415.2255	7.08	415.2254	7.086488	-0.241	0.006	0.9998	unique	assigned	1.0	9154.0	C23H36O4	False	False	False	False	False
27632	1039.4877	3.057969	0.0004509609937759	0.0	6.457806704762728	1.0	0.1	0.9	50.0	0.0003330003330003	0.0043116741493909	dendrobatidis	life_stage	spore_Zoospore	spore_Developed	up_in_spore_Zoospore	0.0																											False	False	False	False
