formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C27H39N5O7	[M + H]+	C27H40N5O7+		0.872	68.178	68.178	0.000	22	0.913	0.063	1.107	11.120		546.298	54	0.897	878152147174869734	878151671997975084	878151671985392171	974	
1	C15H27N3O6S	[M + H]+	C15H28N3O6S+		0.922	122.976	122.976	0.000	41	0.843	0.324	1.595	-2.996		378.168	100	1.674	878151767590357693	878151673625365084	878151673621170779	9787	
1	C20H30N4O6S	[M + H]+	C20H31N4O6S+		0.857	101.845	101.845	0.000	32	0.968	2.050	2.596	-5.453		455.193	120	2.002	878152233430731504	878151672778115648	878151672769727039	5261	
1	CHBr2I	[M + K]+	CHBr2IK+		1.000	-1.219	-1.219	0.000	0	0.000			-13.158		336.708	132	2.192	878151768638933703	878151674158041712	878151674153847407	13716	
1	C20H27FN6O3	[M + H]+	C20H28FN6O3+		0.997	78.414	78.414	0.000	28	0.964	3.051	4.052	-4.874		419.218	149	2.477	878151934238444242	878151673130437196	878151673126242891	7025	
1	C30H43N5O7	[M + Na]+	C30H43N5NaO7+		0.582	34.914	34.914	0.000	15	0.847	1.868	1.868	7.448		608.310	160	2.663	878151764914391731	878151675378584220	878151675374389915	35325	
1	C33H47N3O5S	[M + H]+	C33H48N3O5S+		0.376	12.775	12.775	0.000	8	0.310	0.443	1.860	-0.533		598.331	162	2.707	878152305191078650	878151672891361860	878151672887167555	6100	
1	C34H47N7O8	[M + H]+	C34H48N7O8+		0.421	135.341	135.341	0.000	31	0.748	1.008	2.023	-2.181		682.354	179	2.978	878154229126712115	878151672505485880	878151672497097271	3219	
1	C23H37N5O7	[M + H]+	C23H38N5O7+		0.514	120.023	120.023	0.000	37	0.905	1.148	1.790	3.274		496.278	181	3.012	878151831062760136	878151673734416992	878151673730222687	10167	
1	C32H44N6O8	[M + H]+	C32H45N6O8+		0.961	167.198	167.198	0.000	54	0.978	-0.104	2.039	0.563		641.330	195	3.256	878154503039929212	878151672346102324	878151672341908019	2499	
1	C38H70N8O7	[M + K]+	C38H70KN8O7+		1.000	91.748	91.748	0.000	35	0.917	0.862	1.757	4.934		789.504	224	3.738	878152086495873756	878151675160480396	878151675160480395	22089	
1	C52H74N8O11	[M + H]+	C52H75N8O11+		0.733	74.645	74.645	0.000	26	0.729	0.320	1.271	-11.221		987.544	234	3.894	878152579771190021	878151671670819368	878151671637264935	545	
1	C31H49N7O10	[M + H]+	C31H50N7O10+		0.976	117.883	117.883	0.000	35	0.814	0.862	1.149	-8.624		680.356	238	3.968	878153535757929244	878151673499535960	878151673495341655	8793	
1	C18H19NO5	[M + H]+	C18H20NO5+		0.662	61.650	61.650	0.000	13	0.818	0.145	2.077	1.517		330.134	262	4.364	878153032080739089	878151674460031608	878151674455837303	15461	
1	C29H41N7O6	[M + H]+	C29H42N7O6+		0.632	59.281	59.281	0.000	27	0.912	0.185	2.208	-2.924		584.317	269	4.475	878154375797328712	878151674048989804	878151674048989803	12736	
1	C26H43N9O9	[M + H]+	C26H44N9O9+		0.664	40.747	40.747	0.000	16	0.842	-3.689	5.342	9.020		626.331	304	5.068	878153587389811494	878151674623609468	878151674611026555	16396	
1	C9H21N3O5	[M + Na]+	C9H21N3NaO5+		0.773	70.587	70.587	0.000	12	0.540	5.022	5.022	3.132		274.138	335	5.581	878154390976514909	878151675345029780	878151675340835475	28041	
1	C13H20N2O6	[M + H]+	C13H21N2O6+		0.883	71.681	71.681	0.000	11	0.418	2.152	2.152	2.946		301.140	450	7.500	878154248055606077	878151674296453748	878151674250316403	14687	
1	C21H38O3	[M + H]+	C21H39O3+		1.000	202.731	202.731	0.000	33	0.621	1.438	1.555	-0.506		339.289	487	8.120	878154432797920104	878151675261143696	878151675256949391	25555	
1	C20H42O4	[M + H]+	C20H43O4+		1.000	84.181	84.181	0.000	10	0.893	1.217	1.217	0.040		347.316	488	8.133	878154380432034642	878151673843468900	878151673839274595	10836	
1	C13H25NO3	[M + H]+	C13H26NO3+		1.000	218.902	218.902	0.000	34	0.821	2.193	2.193	-0.082		244.191	499	8.320	878154436316941170	878151675072400008	878151675068205703	20237	
1	C32H44N4O13	[M + K]+	C32H44KN4O13+		0.696	160.278	160.278	0.000	28	0.590	1.882	2.443	-4.028		731.251	523	8.716	878154709722650551	878151675366001304	878151675361806999	31396	
1	C34H66N8O8	[M + Na]+	C34H66N8NaO8+		0.757	30.318	30.318	0.000	8	0.541	-0.045	2.368	0.296		737.490	640	10.659	878154682581307973	878151674782993024	878151674778798719	17323	
1	C15H29NO	[M + H]+	C15H30NO+		1.000	86.939	86.939	0.000	12	0.255	3.358	3.358	5.033		240.233	640	10.666	878154622577593716	878151674942376580	878151674938182275	18484	
