sample_id,species,matrix,life_stage,condition,plate,replicate,is_C_companion,has_C_companion,companion_of,timepoint_hrs,stage_group,condition_group
A1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,A,1.0,True,False,A1_spore.mzML,8.0,Zoospore,liq_Zoospore
A2C_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,A,2.0,True,False,A2_spore.mzML,48.0,Developed,liq_Developed
A3C_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,A,3.0,True,False,A3_spore.mzML,96.0,Developed,liq_Developed
C1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,C,1.0,True,False,C1_spore.mzML,8.0,Zoospore,liq_Zoospore
C2C_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,C,2.0,True,False,C2_spore.mzML,48.0,Developed,liq_Developed
C3C_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,C,3.0,True,False,C3_spore.mzML,96.0,Developed,liq_Developed
D1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,D,1.0,True,False,D1_spore.mzML,8.0,Zoospore,liq_Zoospore
D3C_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,D,3.0,True,False,D3_spore.mzML,48.0,Developed,liq_Developed
D4C_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,D,4.0,True,False,D4_spore.mzML,96.0,Developed,liq_Developed
E1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,E,1.0,True,False,E1_spore.mzML,8.0,Zoospore,liq_Zoospore
E2C_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,E,2.0,True,False,E2_spore.mzML,48.0,Developed,liq_Developed
E3C_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,E,3.0,True,False,E3_spore.mzML,96.0,Developed,liq_Developed
F1C_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,F,1.0,True,False,F1_spore.mzML,8.0,Zoospore,liq_Zoospore
F2C_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,F,2.0,True,False,F2_spore.mzML,48.0,Developed,liq_Developed
F3C_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,F,3.0,True,False,F3_spore.mzML,96.0,Developed,liq_Developed
V1C_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,V,1.0,True,False,V1_spores.mzML,8.0,Zoospore,liq_Zoospore
V2C_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,V,2.0,True,False,V2_spores.mzML,48.0,Developed,liq_Developed
V3C_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,V,3.0,True,False,V3_spores.mzML,96.0,Developed,liq_Developed
W1C_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,W,1.0,True,False,W1_spores.mzML,8.0,Zoospore,liq_Zoospore
W2C_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,W,2.0,True,False,W2_spores.mzML,48.0,Developed,liq_Developed
W3C_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,W,3.0,True,False,W3_spores.mzML,96.0,Developed,liq_Developed
X1C_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,X,1.0,True,False,X1_spores.mzML,8.0,Zoospore,liq_Zoospore
X2C_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,X,2.0,True,False,X2_spores.mzML,48.0,Developed,liq_Developed
X3C_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,X,3.0,True,False,X3_spores.mzML,96.0,Developed,liq_Developed
Y1C_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,Y,1.0,True,False,Y1_spores.mzML,8.0,Zoospore,liq_Zoospore
Y2C_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,Y,2.0,True,False,Y2_spores.mzML,48.0,Developed,liq_Developed
Y3C_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,Y,3.0,True,False,Y3_spores.mzML,96.0,Developed,liq_Developed
Z1C_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,Z,1.0,True,False,Z1_spores.mzML,8.0,Zoospore,liq_Zoospore
Z2C_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,Z,2.0,True,False,Z2_spores.mzML,48.0,Developed,liq_Developed
Z3C_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,Z,3.0,True,False,Z3_spores.mzML,96.0,Developed,liq_Developed
