row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
506	501.5792	2.285701	0.000972044474510844	0.0	10.619699908517003	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
645	725.3218	2.057	0.0005504200079418422	0.0	9.799912684220962	1.0	0.0	1.0	25.0	0.007936507936507936	0.13757560269188174
1133	569.3354	3.052	0.0004822426611398649	0.0	9.609367849234618	1.0	0.2	0.8	25.0	0.007936507936507936	0.13757560269188174
1945	854.4401	1.628	0.000464410816156825	0.0	9.555081055970218	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
1546	626.8679	3.323	0.0003734301965587446	0.0	9.240985248285263	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
2540	1064.5348	2.057	0.0003371800972734973	0.0	9.093922349011434	1.0	0.2	0.8	25.0	0.007936507936507936	0.13757560269188174
526	506.9103	1.912	0.0003143259691822621	0.0	8.992856388065341	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
2308	1374.1731	3.599	0.00030004845027276615	0.0	8.925925135841203	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
32539	724.3137	2.145	0.0002804876543380617	0.0	8.828873774365965	1.0	0.2	0.8	25.0	0.007936507936507936	0.13757560269188174
2452	1048.5427	2.181	0.0002501153885792243	0.0	8.663915535688943	1.0	0.2	0.8	25.0	0.007936507936507936	0.13757560269188174
1902	819.0829	2.507	0.0002441254093559702	0.0	8.629031447634341	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
5875	615.3234	1.644	0.0	0.0002267655780185754	-8.52288958213131	0.0	1.0	-1.0	0.0	0.007936507936507936	0.13757560269188174
2279	577.335	3.116	0.0002243846999779024	0.0	8.50770384326162	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
1208	560.3275	2.373	0.0	0.00022078735648064281	-8.484451674137853	0.0	1.0	-1.0	0.0	0.007936507936507936	0.13757560269188174
2221	851.417	2.025	0.00021840100233169792	0.0	8.468817606104414	1.0	0.4	0.6	25.0	0.007936507936507936	0.13757560269188174
3756	565.2655	1.967716	0.0	0.0002115017307085899	-8.422640421361042	0.0	1.0	-1.0	0.0	0.007936507936507936	0.13757560269188174
3806	730.8935	3.095462	0.00020673380983870292	0.0	8.38984226689382	1.0	0.2	0.8	25.0	0.007936507936507936	0.13757560269188174
3788	1007.5198	2.094281	0.00020461118263303334	0.0	8.374997530150042	1.0	0.2	0.8	25.0	0.007936507936507936	0.13757560269188174
3731	710.385	2.198	0.0	0.00020140672056598947	-8.352293497840604	0.2	1.0	-0.8	0.0	0.007936507936507936	0.13757560269188174
4395	661.9861	2.213	0.0	0.00019902224340921155	-8.335164243216273	0.2	1.0	-0.8	0.0	0.007936507936507936	0.13757560269188174
